model,seed,boundary,fraction,evaluation_set,n,accuracy,margin_mean,margin_std,positive_margin_rate
minilm_frozen_bt,20260727,naive,0.8,clean_validation,512,0.4609375,-0.04608479914750198,0.217968542766293,0.353515625
minilm_frozen_bt,20260727,naive,0.8,untouched_clean_test,512,0.498046875,-0.0530646421164255,0.22796211197184488,0.388671875
minilm_frozen_bt,20260727,naive,0.8,external,372,0.49193548387096775,-0.04432463901947149,0.312538374639099,0.4274193548387097
minilm_frozen_bt,20260727,naive,1.0,target,512,0.478515625,-0.01912677579895204,0.24680693313251892,0.447265625
minilm_frozen_bt,20260727,naive,1.0,clean_validation,512,0.47265625,-0.01041105367524657,0.2514755274365307,0.458984375
minilm_frozen_bt,20260727,naive,1.0,untouched_clean_test,512,0.509765625,-0.01987149822903836,0.26403723093990505,0.455078125
minilm_frozen_bt,20260727,naive,1.0,external,372,0.4650537634408602,-0.001111164388022244,0.35525854192439543,0.49731182795698925
minilm_frozen_bt,20260727,safe,0.2,target,512,0.5078125,-0.10313376300488022,0.09443384216528627,0.09765625
minilm_frozen_bt,20260727,safe,0.2,clean_validation,512,0.474609375,-0.1084320966106627,0.09080911660898873,0.09375
minilm_frozen_bt,20260727,safe,0.2,untouched_clean_test,512,0.46875,-0.10770346830225543,0.09498185167234702,0.11328125
minilm_frozen_bt,20260727,safe,0.2,external,372,0.45161290322580644,-0.10408546698449068,0.12825665452967722,0.16129032258064516
minilm_frozen_bt,20260727,safe,0.4,target,512,0.50390625,-0.05949489102798007,0.14362032597020882,0.3046875
minilm_frozen_bt,20260727,safe,0.4,clean_validation,512,0.478515625,-0.06901201769502398,0.14153197045177932,0.27734375
minilm_frozen_bt,20260727,safe,0.4,untouched_clean_test,512,0.48046875,-0.063809393876268,0.15652777073656082,0.27734375
minilm_frozen_bt,20260727,safe,0.4,external,372,0.489247311827957,-0.05972246036582681,0.20671813212081153,0.34946236559139787
minilm_frozen_bt,20260727,safe,0.6,target,512,0.498046875,-0.06378823996077918,0.18329223539677006,0.310546875
minilm_frozen_bt,20260727,safe,0.6,clean_validation,512,0.4921875,-0.07011700988251127,0.18856098635315796,0.310546875
minilm_frozen_bt,20260727,safe,0.6,untouched_clean_test,512,0.48046875,-0.06403824319632143,0.1952564972277289,0.328125
minilm_frozen_bt,20260727,safe,0.6,external,372,0.48118279569892475,-0.06237649913392346,0.26645723515937025,0.3629032258064516
minilm_frozen_bt,20260727,safe,0.8,target,512,0.49609375,-0.0378691590082174,0.20426518409196467,0.39453125
minilm_frozen_bt,20260727,safe,0.8,clean_validation,512,0.490234375,-0.037604332218849505,0.2142742469242093,0.390625
minilm_frozen_bt,20260727,safe,0.8,untouched_clean_test,512,0.49609375,-0.036322517399877734,0.22329439458001554,0.40625
minilm_frozen_bt,20260727,safe,0.8,external,372,0.478494623655914,-0.02894891514097446,0.3038117062786112,0.43548387096774194
minilm_frozen_bt,20260727,safe,1.0,target,512,0.484375,-0.009840348402271156,0.2437739346796346,0.4609375
minilm_frozen_bt,20260727,safe,1.0,clean_validation,512,0.494140625,-0.008791223808442206,0.2462400366290473,0.453125
minilm_frozen_bt,20260727,safe,1.0,untouched_clean_test,512,0.4921875,-0.011754515187406497,0.2587297148829409,0.46875
minilm_frozen_bt,20260727,safe,1.0,external,372,0.4731182795698925,0.0043051922822287805,0.34869325199928985,0.5161290322580645
minilm_frozen_bt,20260728,naive,0.2,target,512,0.478515625,0.023707415576407508,0.09561879022116897,0.607421875
minilm_frozen_bt,20260728,naive,0.2,clean_validation,512,0.484375,0.02300152991007054,0.09368514521378411,0.623046875
minilm_frozen_bt,20260728,naive,0.2,untouched_clean_test,512,0.494140625,0.019134021282027673,0.09565548679449909,0.607421875
minilm_frozen_bt,20260728,naive,0.2,external,372,0.5026881720430108,0.03377677590134403,0.1320766498569184,0.6048387096774194
minilm_frozen_bt,20260728,naive,0.4,target,512,0.5,-0.10335700864353631,0.15604072619992668,0.21484375
minilm_frozen_bt,20260728,naive,0.4,clean_validation,512,0.45703125,-0.10141318873714195,0.15874500676949768,0.193359375
minilm_frozen_bt,20260728,naive,0.4,untouched_clean_test,512,0.509765625,-0.10897386883423527,0.1628844385924599,0.197265625
minilm_frozen_bt,20260728,naive,0.4,external,372,0.47043010752688175,-0.08995905411157018,0.22405528589872872,0.28763440860215056
minilm_frozen_bt,20260728,naive,0.6,target,512,0.51953125,-0.08446072737228728,0.1916272935216819,0.27734375
minilm_frozen_bt,20260728,naive,0.6,clean_validation,512,0.455078125,-0.08387701089671366,0.19778759959847975,0.296875
minilm_frozen_bt,20260728,naive,0.6,untouched_clean_test,512,0.51171875,-0.09071348061549869,0.20381727255128862,0.265625
minilm_frozen_bt,20260728,naive,0.6,external,372,0.478494623655914,-0.07613259948654987,0.27207311585750976,0.3709677419354839
minilm_frozen_bt,20260728,naive,0.8,target,512,0.482421875,-0.05462705804800124,0.2238575742043109,0.373046875
minilm_frozen_bt,20260728,naive,0.8,clean_validation,512,0.470703125,-0.04393258218018008,0.22828362199404562,0.3671875
minilm_frozen_bt,20260728,naive,0.8,untouched_clean_test,512,0.50390625,-0.05574455575189695,0.23940043946532863,0.375
minilm_frozen_bt,20260728,naive,0.8,external,372,0.4838709677419355,-0.03750936528113549,0.32286388888522627,0.43548387096774194
minilm_frozen_bt,20260728,naive,1.0,target,512,0.478515625,-0.01912677579895217,0.24680693313251895,0.447265625
minilm_frozen_bt,20260728,naive,1.0,clean_validation,512,0.47265625,-0.01041105367524665,0.25147552743653073,0.458984375
minilm_frozen_bt,20260728,naive,1.0,untouched_clean_test,512,0.509765625,-0.019871498229038453,0.2640372309399051,0.455078125
minilm_frozen_bt,20260728,naive,1.0,external,372,0.4650537634408602,-0.001111164388022354,0.3552585419243955,0.49731182795698925
minilm_frozen_bt,20260728,safe,0.2,target,512,0.4609375,0.015197257697462115,0.09637596874467827,0.55859375
minilm_frozen_bt,20260728,safe,0.2,clean_validation,512,0.4765625,0.014068413938600059,0.0962488967630311,0.591796875
minilm_frozen_bt,20260728,safe,0.2,untouched_clean_test,512,0.484375,0.012967125554332125,0.10093439028456445,0.578125
minilm_frozen_bt,20260728,safe,0.2,external,372,0.5,0.027473154679225995,0.13274455499773494,0.5591397849462365
minilm_frozen_bt,20260728,safe,0.4,target,512,0.51171875,-0.0885329168865566,0.15456838286275357,0.2421875
minilm_frozen_bt,20260728,safe,0.4,clean_validation,512,0.455078125,-0.08695511097382105,0.15803164318155857,0.21484375
minilm_frozen_bt,20260728,safe,0.4,untouched_clean_test,512,0.521484375,-0.09118058917053369,0.16288149935046894,0.228515625
minilm_frozen_bt,20260728,safe,0.4,external,372,0.4650537634408602,-0.07128224611355166,0.21442059151110993,0.32526881720430106
minilm_frozen_bt,20260728,safe,0.6,target,512,0.521484375,-0.07509049496034256,0.18325508603413346,0.298828125
